Site,Network(s),City,Country,Agency,Lat,Long,Height (m),Site,Receiver,Antenna,Radome,Calibration,Last RINEX2,Last RINEX3,Sat System,Site
DLTV00VNM,IGS,Da Lat,Vietnam,JAXA,11.945,108.482,1587.62,DLTV00VNM,TRIMBLE NETR9,JAVRINGANT_DM,SCIS,ROBOT,n/a,2017-11-24,GPS+GLO+GAL+BDS+QZSS,DLTV00VNM
DRAG00ISR,IGS,Metzoki dragot,Israel,SOI,31.5932,35.3920694,31.8,DRAG00ISR,JAVAD TRE_3 DELTA,ASH700936D_M,SNOW,ROBOT,2020-10-20,n/a,GPS+GLO,DRAG00ISR
DRAO00CAN,IGS,Penticton,Canada,GSC,49.3226,-119.625,542,DRAO00CAN,SEPT POLARX5,TRM59800.00,SCIS,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL,DRAO00CAN
DUBO00CAN,IGS,LAC DU BONNET,Canada,NRCan,50.2588,-95.8662,251,DUBO00CAN,SEPT POLARX5,AOAD/M_T,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL,DUBO00CAN
DUMG00ATA,IGS,"Antarctic base of ""Dumont d'Urville""",Antarctica,CNES,-66.6651694,140.0022,-3.38,DUMG00ATA,LEICA GR25,LEIAR25.R4,LEIT,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS,DUMG00ATA
DUND00NZL,IGS,Dunedin,New Zealand,GNS,-45.883675,170.597175,386.9,DUND00NZL,TRIMBLE ALLOY,TRM115000.00,NONE,ROBOT,2020-10-20,2019-01-22,GPS+GLO+GAL+BDS+QZSS,DUND00NZL
DYNG00GRC,IGS,DIONYSOS,Greece,CNES,38.0785528,23.9324333,510.6,DYNG00GRC,TRIMBLE NETR9,TRM59800.00,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS,DYNG00GRC
EBRE00ESP,IGS,Roquetes,Spain,ICGC,40.8208861,0.49235,107.3,EBRE00ESP,LEICA GR50,LEIAR25.R4,NONE,ROBOT,2020-04-14,2020-10-20,GPS+GLO+GAL+BDS,EBRE00ESP
EIL300USA,IGS,Fairbanks,United States,NGA,64.6878889,-147.1130139,177.2,EIL300USA,ITT 3750300,TPSCR.G5,TPSH,ROBOT,2020-10-18,n/a,GPS,EIL300USA
EIL400USA,IGS,Fairbanks,United States,NGA,64.6878889,-147.1130139,177.2,EIL400USA,ITT 3750300,TPSCR.G5,TPSH,ROBOT,2020-10-18,n/a,GPS,EIL400USA
ENAO00PRT,IGS,Santa Cruz da Graciosa,Portugal,GFZ,39.0912,-28.0260111,91.9,ENAO00PRT,JAVAD TRE_3,JAVRINGANT_G5T,NONE,ROBOT,n/a,2020-10-20,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,ENAO00PRT
EPRT00USA,IGS,Eastport,United States,NGS,44.9087111,-66.9921306,30.4,EPRT00USA,LEICA GR50,LEIAR20,LEIM,ROBOT,2019-03-23,n/a,GPS+GLO+GAL,EPRT00USA
ESCU00CAN,IGS,Escuminac,Canada,NRCan/GSD,47.0734039,-64.7987103,-16.02,ESCU00CAN,TRIMBLE NETR9,ASH701945E_M,NONE,ROBOT,2020-10-20,n/a,GPS,ESCU00CAN
EUSM00MYS,IGS,Nibong Tebal,Malaysia,JAXA,5.1455694,100.4940944,18.761,EUSM00MYS,TRIMBLE NETR9,JAVRINGANT_DM,SCIS,ROBOT,n/a,2018-06-28,GPS+GLO+GAL+BDS+QZSS,EUSM00MYS
FAA100PYF,IGS,Faaa,French Polynesia,ESOC,-17.5553139,-149.6143,12.35,FAA100PYF,SEPT POLARX5,LEIAR25.R4,NONE,ROBOT,2020-04-05,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS,FAA100PYF
FAIR00USA,IGS,Fairbanks,United States,JPL,64.9779983,-147.4992396,319.1771,FAIR00USA,JAVAD TRE_G3TH DELTA,ASH701945G_M,JPLA,n/a,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+QZSS,FAIR00USA
FALE00WSM,IGS,Faleolo,Samoa,GNS,-13.8322,-171.9995,47.6,FALE00WSM,TRIMBLE NETRS,TRM41249.00,NONE,ROBOT,2017-12-28,n/a,GPS,FALE00WSM
FALK00FLK,IGS,Port Stanley,Falkland Islands (Malvinas),JPL,-51.6936522,-57.8740674,50.8407,FALK00FLK,SEPT POLARX5,ASH701945E_M,SCIT,FIELD,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS,FALK00FLK
FFMJ00DEU,IGS,Frankfurt / Main,Germany,BKG,50.0905778,8.6649639,178.2,FFMJ00DEU,JAVAD TRE_3 DELTA,LEIAR25.R3,LEIT,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS,FFMJ00DEU
FLIN00CAN,IGS,CFS FLIN FLON,Canada,NRCan,54.7256,-101.978,320,FLIN00CAN,SEPT POLARX5,NOV750.R4,NOVS,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL,FLIN00CAN
FLRS00PRT,IGS,Santa Cruz das Flores,Portugal,DGT,39.4538333,-31.1263889,79.9,FLRS00PRT,LEICA GRX1200GGPRO,LEIAT504GG,NONE,ROBOT,2020-07-12,n/a,GPS+GLO,FLRS00PRT
FRDN00CAN,IGS,Fredericton,Canada,NRCan,45.933,-66.659,95.9,FRDN00CAN,TPS NET-G3A,TPSCR.G3,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO,FRDN00CAN
FTNA00WLF,IGS,Maopo'opo,French Polynesia,CNES,-14.3078031,-178.1209457,84.859,FTNA00WLF,TRIMBLE NETR9,TRM59800.00,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+QZSS+SBAS,FTNA00WLF
FUNC00PRT,IGS,Funchal,Portugal,DGT,32.6479472,-16.9076167,78.5,FUNC00PRT,LEICA GRX1200GGPRO,LEIAT504GG,NONE,ROBOT,2020-07-12,n/a,GPS+GLO,FUNC00PRT
GAMB00PYF,IGS,Rikitea,French Polynesia,CNES,-23.1303547,-134.9648236,80.66,GAMB00PYF,TRIMBLE NETR9,TRM59800.00,NONE,ROBOT,2020-10-19,2020-10-20,GPS+GLO+GAL+BDS+SBAS,GAMB00PYF
GAMG00KOR,IGS,Geochang,Republic of Korea,CNES,35.5900706,127.9196603,927.965,GAMG00KOR,SEPT POLARX5TR,LEIAR25.R4,LEIT,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS+IRNSS,GAMG00KOR
GANP00SVK,IGS,Ganovce - Poprad,Slovakia,GKU,49.0347139,20.3229361,746,GANP00SVK,TRIMBLE ALLOY,TRM59800.00,SCIS,ROBOT,2020-10-11,2020-10-20,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,GANP00SVK
GCGO00USA,IGS,Fairbanks,United States of America,JPL,65.6390501,-147.8428653,319.3891,GCGO00USA,JAVAD TRE_3 DELTA,JAVRINGANT_DM,SCIS,ROBOT,2020-10-19,2020-10-19,GPS+GLO+GAL+BDS+QZSS+IRNSS,GCGO00USA
GENO00ITA,IGS,Genova,Italy,ASI,44.4194,8.9211167,153.5,GENO00ITA,LEICA GR30,LEIAR20,NONE,ROBOT,2020-08-03,2020-10-20,GPS+GLO+GAL+BDS+SBAS,GENO00ITA
GLPS00ECU,IGS,Puerto Ayora,Ecuador,JPL,-0.7429986,-90.3036686,1.7882,GLPS00ECU,JAVAD TRE_G3TH DELTA,ASH701945B_M,SCIT,FIELD,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS,GLPS00ECU
GLSV00UKR,IGS,Kiev,Ukraine,MAO,50.3641778,30.4967389,226.8,GLSV00UKR,TRIMBLE NETR9,TRM115000.00,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+QZSS,GLSV00UKR
GMSD00JPN,IGS,Nakatane town,Japan,JAXA,30.5564456,131.0155636,142.6475,GMSD00JPN,TRIMBLE NETR9,TRM59800.00,SCIS,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+QZSS,GMSD00JPN
GODE00USA,IGS,Greenbelt,United States of America,JPL,39.0217276,-76.8268305,14.5046,GODE00USA,SEPT POLARX5TR,AOAD/M_T,JPLA,n/a,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS,GODE00USA
GODN00USA,IGS,Greenbelt,United States of America,JPL,39.0211667,-76.8270833,18,GODN00USA,JAVAD TRE_3 DELTA,TPSCR.G3,SCIS,ROBOT,2020-10-19,2020-10-19,GPS+GLO+GAL+BDS+QZSS,GODN00USA
GODS00USA,IGS,Greenbelt,United States of America,JPL,39.0347778,-77.3869722,19.1,GODS00USA,JAVAD TRE_3 DELTA,JAVRINGANT_DM,SCIS,ROBOT,2020-10-19,2020-10-19,GPS+GLO+GAL+BDS+QZSS,GODS00USA
GODZ00USA,IGS,Greenbelt,United States,JPL,39.0217278,-76.8268278,14.509,GODZ00USA,JPS EGGDT,AOAD/M_T,JPLA,n/a,2020-10-20,n/a,GPS+GLO,GODZ00USA
GOL200USA,IGS,Goldstone,United States,JPL,35.4251556,-116.88925,986.6779,GOL200USA,ASHTECH UZ-12,AOAD/M_T,NONE,ROBOT,2020-10-20,n/a,GPS,GOL200USA
GOLD00USA,IGS,Goldstone,United States of America,JPL,35.4251556,-116.88925,986.6779,GOLD00USA,JAVAD TRE_G3TH DELTA,AOAD/M_T,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+QZSS,GOLD00USA
GOP600CZE,IGS,Ondrejov,Czechia,RIGTC GOP,49.9136667,14.7856028,592.6,GOP600CZE,SEPT POLARX5,SEPCHOKE_B3E6,SPKE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,GOP600CZE
GOP700CZE,IGS,Ondrejov,Czechia,RIGTC GOP,49.9136667,14.7856028,592.6,GOP700CZE,TRIMBLE NETR9,SEPCHOKE_B3E6,SPKE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+QZSS,GOP700CZE
GOPE00CZE,IGS,Ondrejov,Czechia,RIGTC GOP,49.9137056,14.7856222,592.6,GOPE00CZE,TRIMBLE ALLOY,TPSCR.G3,TPSH,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+IRNSS+SBAS,GOPE00CZE
GRAC00FRA,IGS,Caussols,France,IGN,43.7544861,6.9207611,1319.8,GRAC00FRA,LEICA GR25,TRM57971.00,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS,GRAC00FRA
GRAS00FRA,IGS,Caussols,France,CNES,43.7547389,6.920575,1319.3,GRAS00FRA,TRIMBLE NETR9,ASH701945E_M,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS,GRAS00FRA
GRAZ00AUT,IGS,Graz,Austria,BEV,47.0671278,15.493475,538.3,GRAZ00AUT,SEPT POLARX5,LEIAR25.R4,LEIT,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS,GRAZ00AUT
GUAM00GUM,IGS,Dededo,Guam,JPL,13.5893306,144.8683583,201.914,GUAM00GUM,JAVAD TRE_3 DELTA,JAVRINGANT_DM,SCIS,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+QZSS,GUAM00GUM
GUAO00CHN,IGS,URUMQI,China,JPL,43.4711,87.1773,2049.2,GUAO00CHN,ASHTECH UZ-12,ASH701945B_M,NONE,COPIED,2016-03-14,n/a,GPS,GUAO00CHN
GUAT00GTM,IGS,Guatemala City,Guatemala,IGN-GT,14.5904028,-90.5201833,1519.9,GUAT00GTM,LEICA GRX1200GGPRO,LEIAR25.R3,LEIT,ROBOT,2020-10-20,n/a,GPS+GLO,GUAT00GTM
GUUG00GUM,IGS,Mangilao,United States,NGS,13.4332083,144.8027139,134.7,GUUG00GUM,LEICA GR50,SEPCHOKE_B3E6,SPKE,ROBOT,2020-10-08,n/a,GPS+GLO+GAL,GUUG00GUM
HAL100USA,IGS,Haleakala Observatories,United States of America,JPL,20.7075056,-156.2561944,3049,HAL100USA,SEPT POLARX5,JAVRINGANT_DM,SCIS,ROBOT,2020-10-19,2020-10-19,GPS+GLO+GAL+BDS+QZSS,HAL100USA
HAMD00IRN,IGS,HAMEDAN,Islamic Republic of Iran,NCC,34.8690827,48.5343064,1750.9381,HAMD00IRN,TRIMBLE NETR9,TRM57971.00,SCIT,ROBOT,2020-07-31,n/a,GPS+GLO,HAMD00IRN
HARB00ZAF,IGS,Pretoria,South Africa,CNES,-25.8869617,27.7072458,1558.078,HARB00ZAF,SEPT POLARX5TR,TRM59800.00,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS+IRNSS,HARB00ZAF
HERS00GBR,IGS,Hailsham,United Kingdom,NSGF,50.8673,0.3362,76.5,HERS00GBR,SEPT POLARX5TR,LEIAR25.R3,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+SBAS,HERS00GBR
HERT00GBR,IGS,Hailsham,United Kingdom,NSGF,50.8674778,0.3343528,83.3,HERT00GBR,LEICA GRX1200GGPRO,LEIAT504GG,NONE,ROBOT,2020-10-20,n/a,GPS+GLO,HERT00GBR
HKSL00HKG,IGS,Tuen Mun,China,HKLD,22.3720047,113.9279813,95.303,HKSL00HKG,LEICA GR50,LEIAR25.R4,LEIT,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+QZSS,HKSL00HKG
HKWS00HKG,IGS,Wong Shek,China,HKLD,22.4342824,114.3353773,63.789,HKWS00HKG,LEICA GR50,LEIAR25.R4,LEIT,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS,HKWS00HKG
HLFX00CAN,IGS,Halifax,Canada,NRCan,44.68355,-63.6112778,3.1,HLFX00CAN,TPS NET-G3A,TPSCR.G3,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO,HLFX00CAN
HNLC00USA,IGS,Honolulu,United States of America,PGF,21.3033,-157.8645,22,HNLC00USA,TRIMBLE NETR9,ASH700936D_M,SNOW,ROBOT,2019-01-25,n/a,GPS,HNLC00USA
HNPT00USA,IGS,Cambridge,United States,NGS,38.5888167,-76.1303722,-28,HNPT00USA,LEICA GRX1200GGPRO,LEIAX1202GG,NONE,ROBOT,2020-08-01,n/a,GPS+GLO,HNPT00USA
HNUS00ZAF,IGS,HERMANUS,South Africa,NGI,-34.4246306,19.2230611,63,HNUS00ZAF,TRIMBLE NETR9,ASH701941.B,SCIS,ROBOT,2020-10-20,n/a,GPS+GLO,HNUS00ZAF
HOB200AUS,IGS,Hobart,Australia,GA,-42.8047194,147.4387333,41.1,HOB200AUS,SEPT POLARX5,AOAD/M_T,NONE,ROBOT,2020-10-01,2020-10-20,GPS+GLO+GAL+BDS+IRNSS+QZSS,HOB200AUS
HOFN00ISL,IGS,Hoefn,Iceland,BKG,64.2672917,-15.197925,82.3,HOFN00ISL,LEICA GR50,LEIAR25.R4,LEIT,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+IRNSS+SBAS,HOFN00ISL
HOLB00CAN,IGS,Holberg,Canada,GSC,50.6404,-128.135,560,HOLB00CAN,SEPT POLARX5,SEPCHOKE_B3E6,SPKE,ROBOT,2020-10-20,n/a,GPS+GLO+GAL,HOLB00CAN
HOLM00CAN,IGS,"Ulukhaktok, formerly Holman (Victoria Island)",Canada,NRCan/GSD,70.7364,-117.7609,39.5,HOLM00CAN,ASHTECH UZ-12,ASH701945D_M,NONE,ROBOT,2017-12-04,n/a,GPS,HOLM00CAN
HOLP00USA,IGS,Hollydale,United States of America,USGS,33.9245389,-118.1681694,-6.71,HOLP00USA,TPS NET-G3A,TPSCR.G3,SCIS,ROBOT,2019-03-28,n/a,GPS,HOLP00USA
HRAG00ZAF,IGS,Krugersdorp,South Africa,DLR/GSOC,-25.8904022,27.6851802,1407.38,HRAG00ZAF,JAVAD TRE_G3TH DELTA,LEIAR25.R3,LEIT,ROBOT,n/a,2020-10-20,GPS+GLO+GAL+IRNSS+SBAS,HRAG00ZAF
HRAO00ZAF,IGS,Krugersdorp,South Africa,JPL,-25.8901056,27.6869806,1414.3,HRAO00ZAF,JAVAD TRE_G3TH DELTA,ASH701945E_M,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS,HRAO00ZAF
HUEG00DEU,IGS,Huegelheim,Germany,BKG,47.8339444,7.5961667,278.4,HUEG00DEU,JAVAD TRE_3 DELTA,LEIAR25.R4,LEIT,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS,HUEG00DEU
HYDE00IND,IGS,Hyderabad (located in central part of India),India,NGRI,17.4172556,78.5508667,441.68,HYDE00IND,LEICA GRX1200GGPRO,LEIAT504GG,NONE,ROBOT,2020-10-20,n/a,GPS+GLO,HYDE00IND
IENG00ITA,IGS,Torino,Italy,I.N.RI.M.,45.0151333,7.6394056,316.6,IENG00ITA,SEPT POLARX4TR,SEPCHOKE_MC,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+SBAS,IENG00ITA
IISC00IND,IGS,Bangalore,India,JPL,13.0211659,77.5703759,843.7145,IISC00IND,SEPT POLARX5,ASH701945E_M,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+QZSS+IRNSS,IISC00IND
INEG00MEX,IGS,Aguascalientes,Mexico,INEGI,21.8561528,-102.2842028,1888.347,INEG00MEX,LEICA GR10,LEIAR10,NONE,ROBOT,2020-10-20,2020-04-04,GPS+GLO+GAL,INEG00MEX
INVK00CAN,IGS,Inuvik,Canada,NRCan/GSD,68.3062,-133.527,46.36,INVK00CAN,TRIMBLE NETR9,ASH701945C_M,SCIS,ROBOT,2020-10-20,n/a,GPS,INVK00CAN
IQAL00CAN,IGS,Iqaluit,Canada,NRCan,63.7559639,-68.5104972,91.7,IQAL00CAN,TPS NET-G3A,TPSCR.G3,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO,IQAL00CAN
IQQE00CHL,IGS,Iquique,Chile,NSC,-20.2735417,-70.1317167,38.9,IQQE00CHL,TRIMBLE NETR9,ASH700936D_M,SNOW,ROBOT,2020-10-19,n/a,GPS,IQQE00CHL
IRKJ00RUS,IGS,Irkutsk,Russian Federation,VNIIFTRI,52.2190194,104.3161778,502.1,IRKJ00RUS,JPS LEGACY,JPSREGANT_SD_E1,NONE,ROBOT,2020-10-20,n/a,GPS+GLO,IRKJ00RUS
IRKM00RUS,IGS,Irkutsk,Russian Federation,RDAAC,52.2190241,104.3162403,502.317,IRKM00RUS,JAVAD TRE_G3TH DELTA,AOAD/M_T,NONE,ROBOT,2020-10-20,n/a,GPS+GLO,IRKM00RUS
IRKT00RUS,IGS,Irkutsk,Russian Federation,DUT,52.219,104.3162,503.3816,IRKT00RUS,ROGUE SNR-8000,AOAD/M_T,NONE,ROBOT,2014-01-21,n/a,GPS,IRKT00RUS
ISBA00IRQ,IGS,Palestine Street,Iraq,IRAGDS,33.3414139,44.4384028,72.4,ISBA00IRQ,TRIMBLE NETR5,TRM57971.00,NONE,ROBOT,2020-10-06,n/a,GPS+GLO,ISBA00IRQ
ISHI00JPN,IGS,ISHIOKA,Japan,GSI,36.2088333,140.2189556,155.83,ISHI00JPN,TRIMBLE NETR9,TRM59800.00,SCIS,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+QZSS,ISHI00JPN
ISPA00CHL,IGS,Easter Island,Chile,JPL,-27.1249829,-109.34441,112.4948,ISPA00CHL,ASHTECH UZ-12,ASH701945E_M,SCIT,FIELD,2019-01-09,n/a,GPS,ISPA00CHL
ISTA00TUR,IGS,Istanbul,Turkey,BKG,41.1044472,29.0193389,147.2,ISTA00TUR,LEICA GR25,LEIAR25.R4,LEIT,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS,ISTA00TUR
IZMI00TUR,IGS,izmir,Turkey,GCM,38.3948083,27.0818222,74.9,IZMI00TUR,TRIMBLE NETR5,TRM55971.00,NONE,ROBOT,2020-10-19,n/a,GPS+GLO+SBAS,IZMI00TUR
JCTW00ZAF,IGS,Cape Town,South Africa,JAXA,-33.9514333,18.46855,83.596,JCTW00ZAF,TRIMBLE NETR9,TRM59800.00,SCIS,ROBOT,n/a,2020-10-20,GPS+GLO+GAL+BDS,JCTW00ZAF
JFNG00CHN,IGS,Jiufeng,China,CNES,30.5155654,114.4910189,71.324,JFNG00CHN,TRIMBLE ALLOY,TRM59800.00,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS+IRNSS,JFNG00CHN
JNAV00VNM,IGS,Hanoi,Vietnam,JAXA,21.0045853,105.8439469,34.87,JNAV00VNM,TRIMBLE NETR9,JAVRINGANT_DM,SCIS,ROBOT,n/a,2018-04-10,GPS+GLO+GAL+BDS+QZSS,JNAV00VNM
JOG200IDN,IGS,Yogyakarta,Indonesia,GFZ,-7.7638139,110.3724639,174.4,JOG200IDN,JAVAD TRE_G3TH DELTA,JAV_RINGANT_G3T,NONE,ROBOT,2018-12-16,2020-10-20,GPS+GLO+GAL+QZSS,JOG200IDN
JOZ200POL,IGS,Jozefoslaw,Poland,WUT,52.0978306,21.0323417,152.3,JOZ200POL,TRIMBLE NETR9,TRM59800.00,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+QZSS,JOZ200POL
JOZE00POL,IGS,Jozefoslaw,Poland,WUT,52.0972722,21.0315333,141.4,JOZE00POL,SEPT POLARX5,SEPCHOKE_B3E6,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,JOZE00POL
JPLM00USA,IGS,Pasadena,United States of America,JPL,34.2048194,-118.173225,423.9843,JPLM00USA,SEPT POLARX5,AOAD/M_T,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS,JPLM00USA
JPRE00ZAF,IGS,Pretoria,South Africa,JAXA,-25.732025,28.2826333,1387.327,JPRE00ZAF,TRIMBLE NETR9,TRM59800.00,SCIS,ROBOT,n/a,2020-10-20,GPS+GLO+GAL+BDS,JPRE00ZAF
KARR00AUS,IGS,Karratha,Australia,GA,-20.9814361,117.0971861,109.2,KARR00AUS,TRIMBLE NETR9,TRM59800.00,NONE,ROBOT,2020-10-17,2020-10-19,GPS+GLO+GAL+BDS+QZSS,KARR00AUS
KAT100AUS,IGS,Katherine,Australia,GA,-14.3760083,132.1532694,184.5,KAT100AUS,SEPT POLARX5,LEIAR25.R3,LEIT,ROBOT,2020-10-01,2020-10-20,GPS+GLO+GAL+BDS+IRNSS,KAT100AUS
KERG00ATF,IGS,Port aux Francais,French Southern Territories,CNES,-49.3514669,70.2555239,73.009,KERG00ATF,TRIMBLE NETR9,ASH701945E_M,SNOW,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS,KERG00ATF
KGNI00JPN,IGS,KOGANEI,Japan,NICT,35.7103417,139.4881222,123.5,KGNI00JPN,TRIMBLE NETRS,ASH701945C_M,SCIS,ROBOT,2020-10-20,n/a,GPS,KGNI00JPN
KHAR00UKR,IGS,Kharkiv,Ukraine,MAO,50.0051028,36.2390083,201,KHAR00UKR,NOV OEMV3,NOV702GG,NONE,ROBOT,2019-04-30,n/a,GPS+GLO,KHAR00UKR
KIR000SWE,IGS,Kiruna,Sweden,LMV,67.8775722,21.0602333,498,KIR000SWE,SEPT POLARX5,JNSCR_C146-22-1,OSOD,n/a,2020-04-27,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS,KIR000SWE
KIR800SWE,IGS,Kiruna,Sweden,LMV,67.8775417,21.0601778,498,KIR800SWE,TRIMBLE ALLOY,LEIAR25.R3,LEIT,ROBOT,2020-04-27,2020-10-19,GPS+GLO+GAL+BDS+QZSS+SBAS,KIR800SWE
KIRI00KIR,IGS,Betio,Kiribati,GA,1.3545806,172.9228972,36.2,KIRI00KIR,TRIMBLE NETR9,TRM59800.00,NONE,ROBOT,2020-09-29,2020-10-20,GPS+GLO+GAL+BDS+QZSS,KIRI00KIR
KIRU00SWE,IGS,Kiruna,Sweden,ESOC,67.85735,20.9684417,390.9,KIRU00SWE,SEPT POLARX5,SEPCHOKE_B3E6,SPKE,ROBOT,2020-04-05,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS,KIRU00SWE
KIT300UZB,IGS,Kitab,Uzbekistan,GFZ,39.1347667,66.88545,622.6,KIT300UZB,SEPT ASTERX4,SEPCHOKE_B3E6,NONE,ROBOT,2018-12-13,2020-10-20,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,KIT300UZB
