Site,Network(s),City,Country,Agency,Lat,Long,Height (m),Site,Receiver,Antenna,Radome,Calibration,Last RINEX2,Last RINEX3,Sat System,Site
KITG00UZB,IGS,Kitab,Uzbekistan,CNES,39.1333864,66.8867382,620.631,KITG00UZB,SEPT POLARX5,TRM59800.00,SCIS,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS+IRNSS,KITG00UZB
KMNM00TWN,IGS,Kinmen,Taiwan,NLSC,24.4638222,118.3885778,49.1,KMNM00TWN,TRIMBLE ALLOY,TPSCR3_GGD,CONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS,KMNM00TWN
KOKB00USA,IGS,"Kokee Park, Waimea,",United States,JPL,22.1262638,-159.6649298,1167.5216,KOKB00USA,SEPT POLARX5TR,ASH701945G_M,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+QZSS,KOKB00USA
KOKV00USA,IGS,"Kokee Park, Waimea,",United States of America,JPL,22.1262638,-159.6649298,1167.5216,KOKV00USA,JAVAD TRE_G3TH DELTA,ASH701945G_M,NONE,ROBOT,2020-10-19,2020-10-19,GPS+GLO+GAL+BDS+QZSS,KOKV00USA
KOS100NLD,IGS,Kootwijk,Netherlands,DUT,52.1733556,5.818225,104.8,KOS100NLD,SEPT POLARX5E,LEIAR25.R3,LEIT,ROBOT,2019-04-28,2020-10-20,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,KOS100NLD
KOST00KAZ,IGS,Kostanay,Kazakhstan,JSC KGS,53.2245583,63.6081028,163.0312,KOST00KAZ,LEICA GR10,LEIAR25.R4,LEIT,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+SBAS,KOST00KAZ
KOUC00NCL,IGS,Koumac,New Caledonia,DITTT,-20.5586972,164.2873333,84.17,KOUC00NCL,TRIMBLE NETR9,TRM57971.00,TZGD,ROBOT,2020-10-18,2020-10-18,GPS+GLO+QZSS+GAL+BDS,KOUC00NCL
KOUG00GUF,IGS,Kourou,French Guiana,CNES,5.0984709,-52.6397502,107.248,KOUG00GUF,SEPT POLARX5TR,LEIAR25.R3,LEIT,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS,KOUG00GUF
KOUR00GUF,IGS,Kourou,French Guiana,ESOC,5.2522,-52.806,-25.57,KOUR00GUF,SEPT POLARX5,SEPCHOKE_B3E6,NONE,ROBOT,2020-04-05,2020-10-20,GPS+GLO+GAL+BDS+SBAS,KOUR00GUF
KRGG00ATF,IGS,Port aux Francais,French Southern Territories,CNES,-49.351543,70.2555059,72.9673,KRGG00ATF,TRIMBLE ALLOY,LEIAR25.R4,LEIT,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS+IRNSS,KRGG00ATF
KRS100TUR,IGS,Kars,Turkey,GCM,40.5884528,43.0934444,1811.7,KRS100TUR,TRIMBLE NETR5,TRM55971.00,TZGD,ROBOT,2020-10-20,n/a,GPS+GLO+SBAS,KRS100TUR
KSMV00JPN,IGS,KASHIMA,Japan,NICT,35.9553722,140.657675,57.9,KSMV00JPN,TRIMBLE NETRS,ASH700936E,SCIS,ROBOT,2019-08-07,n/a,GPS,KSMV00JPN
KUJ200CAN,IGS,Kuujjuarapik,Canada,NRCan,55.2900083,-77.7352722,8.6,KUJ200CAN,SEPT POLARX5,AOAD/M_T_RFI_T,NONE,ROBOT,2020-10-19,2020-10-19,GPS+GLO+GAL,KUJ200CAN
KZN200RUS,IGS,KAZAN,Russian Federation,KFU,55.7907833,49.1192444,94.6,KZN200RUS,TRIMBLE ALLOY,TRM59800.00,SCIS,ROBOT,n/a,2020-03-18,GPS+GLO+GAL+BDS+QZSS+SBAS+IRNSS,KZN200RUS
LAE100PNG,IGS,Lae,Papua New Guinea,DSLS,-6.6737,146.9932,140.35,LAE100PNG,ASHTECH UZ-12,ASH700936A_M,NONE,COPIED,2020-09-27,n/a,GPS,LAE100PNG
LAMA00POL,IGS,Olsztyn,Poland,UWM_OLSZTYN,53.8924,20.6699333,186.7,LAMA00POL,LEICA GRX1200+GNSS,LEIAT504GG,LEIS,ROBOT,2020-10-20,n/a,GPS+GLO,LAMA00POL
LAUT00FJI,IGS,Lautoka,Fiji,GA,-17.6088056,177.4465833,89.7,LAUT00FJI,SEPT POLARX5,JAVRINGANT_DM,NONE,ROBOT,2020-10-01,2020-10-20,GPS+GLO+GAL+BDS+QZSS,LAUT00FJI
LBCH00USA,IGS,Long Beach,United States of America,USGS,33.7877694,-118.2033444,-27.58,LBCH00USA,SEPT POLARX5,TWIVC6150,SCIS,ROBOT,2020-10-20,n/a,GPS+GLO+GAL+SBAS,LBCH00USA
LCK300IND,IGS,Lucknow,India,ISRO,26.9121793,80.9556358,64.165,LCK300IND,TRIMBLE ALLOY,LEIAR25.R3,LEIT,ROBOT,2020-04-26,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS+IRNSS,LCK300IND
LCK400IND,IGS,Lucknow,India,ISRO,26.9121426,80.9556167,64.1821,LCK400IND,TRIMBLE ALLOY,LEIAR25.R3,LEIT,ROBOT,2020-07-13,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS+IRNSS,LCK400IND
LEIJ00DEU,IGS,Leipzig,Germany,BKG,51.3539806,12.3740972,178.4,LEIJ00DEU,JAVAD TRE_3 DELTA,LEIAR25.R4,LEIT,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS,LEIJ00DEU
LHAZ00CHN,IGS,Lhasa,China,BKG,29.6573306,91.1040222,3622,LHAZ00CHN,LEICA GR25,LEIAR25.R4,LEIT,ROBOT,2020-05-03,2020-10-20,GPS+GLO+GAL+BDS+SBAS,LHAZ00CHN
LICC00GBR,IGS,London,United Kingdom,IC,51.4997889,-0.1748389,88.7,LICC00GBR,CHC P5E,CHCC220GR2,CHCD,ROBOT,n/a,2020-10-20,GPS+GLO+GAL+BDS+SBAS,LICC00GBR
LLAG00ESP,IGS,La Laguna,Spain,DLR/GSOC,28.4816661,-16.3207178,622.82,LLAG00ESP,JAVAD TRE_G2T DELTA,TRM57971.00,NONE,ROBOT,n/a,2020-06-28,GPS+GAL+SBAS,LLAG00ESP
LMMF00MTQ,IGS,Le Lamentin,Martinique,IGN,14.5948167,-60.9961694,-27,LMMF00MTQ,TRIMBLE ALLOY,TRM57971.00,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS,LMMF00MTQ
LPAL00ESP,IGS,Roque de los Muchachos,Spain,IGN-E,28.7639583,-17.8938389,2207,LPAL00ESP,LEICA GRX1200GGPRO,LEIAT504GG,NONE,ROBOT,2020-10-20,n/a,GPS+GLO,LPAL00ESP
LPGS00ARG,IGS,La Plata,Argentina,GFZ,-34.9067444,-57.9323,29.9,LPGS00ARG,JAVAD TRE_3,JAVRINGANT_G5T,NONE,ROBOT,2019-01-27,2020-10-20,GPS+GLO+GAL+BDS,LPGS00ARG
LROC00FRA,IGS,La Rochelle,France,ULR,46.1589389,-1.2193194,57.9,LROC00FRA,LEICA GR25,ASH701945B_M,NONE,COPIED,2020-10-20,2020-09-17,GPS+GLO+GAL+SBAS,LROC00FRA
M0SE00ITA,IGS,Roma,Italy,AGG_DITS,41.8931139,12.4932583,120.6,M0SE00ITA,LEICA GR25,LEIAR25.R4,LEIT,ROBOT,2020-04-27,2020-10-20,GPS+GLO+GAL+BDS+SBAS,M0SE00ITA
MAC100AUS,IGS,Macquarie Island,Australia,GA,-54.4995,158.9358,-6.7,MAC100AUS,SEPT POLARX5,JAVRINGANT_DM,SCIS,ROBOT,2020-09-30,2020-10-20,GPS+GLO+GAL+BDS+QZSS+IRNSS,MAC100AUS
MAD200ESP,IGS,Robledo,Spain,JPL,40.4291611,-4.2496583,829.5,MAD200ESP,ASHTECH Z-XII3T,AOAD/M_T,NONE,ROBOT,2020-10-20,n/a,GPS,MAD200ESP
MADR00ESP,IGS,Robledo,Spain,JPL,40.4291611,-4.2496583,829.5,MADR00ESP,JAVAD TRE_G3TH DELTA,AOAD/M_T,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS,MADR00ESP
MAG000RUS,IGS,Magadan,Russian Federation,RDAAC,59.5758,150.77,361.9266,MAG000RUS,ASHTECH Z-XII3,ASH700936D_M,JPLA,n/a,2020-10-20,n/a,GPS,MAG000RUS
MAJU00MHL,IGS,"Rita, Majuro",Marshall Islands,GA,7.1191369,171.364525,33.9,MAJU00MHL,SEPT POLARX4TR,JAVRINGANT_DM,NONE,ROBOT,2020-10-17,2020-10-19,GPS+GLO+GAL+BDS+QZSS,MAJU00MHL
MAL200KEN,IGS,Malindi,Kenya,ESOC,-2.996,40.194,-20.4,MAL200KEN,SEPT POLARX5,LEIAR25.R4,NONE,ROBOT,2020-04-05,2020-10-20,GPS+GLO+GAL+BDS+SBAS,MAL200KEN
MANA00NIC,IGS,Managua,Nicaragua,INETER,12.1489389,-86.2489944,71,MANA00NIC,TRIMBLE NETR9,TRM59800.99,NONE,ROBOT,2020-10-20,n/a,GPS,MANA00NIC
MAR600SWE,IGS,Maartsbo,Sweden,LMV,60.5951417,17.2585222,75.4,MAR600SWE,SEPT POLARX5,AOAD/M_T,OSOD,n/a,2020-04-27,2020-10-20,GPS+GLO+GAL+BDS+IRNSS+SBAS,MAR600SWE
MAR700SWE,IGS,Gavle,Sweden,LMV,60.5950528,17.2584389,74.3,MAR700SWE,TRIMBLE ALLOY,LEIAR25.R3,LEIT,ROBOT,2020-04-27,2020-10-19,GPS+GLO+GAL+BDS+SBAS,MAR700SWE
MARS00FRA,IGS,Marseille,France,IGN,43.2787694,5.3537833,61.7,MARS00FRA,LEICA GR25,TRM57971.00,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS,MARS00FRA
MAS100ESP,IGS,Maspalomas,Spain,ESOC,27.7637389,-15.6332778,197.2,MAS100ESP,SEPT POLARX5,LEIAR25.R4,NONE,ROBOT,2020-04-05,2020-10-20,GPS+GLO+GAL+BDS+SBAS,MAS100ESP
MAT100ITA,IGS,MATERA,Italy,ASI,40.6490611,16.7045444,534.5,MAT100ITA,LEICA GR30,LEIAR20,NONE,ROBOT,2020-08-03,2020-10-20,GPS+GLO+GAL+BDS+SBAS,MAT100ITA
MATE00ITA,IGS,Matera,Italy,ASI,40.6491306,16.7044583,535.6,MATE00ITA,LEICA GR30,LEIAR20,NONE,ROBOT,2020-08-03,2020-10-20,GPS+GLO+GAL+BDS+SBAS,MATE00ITA
MATG00ITA,IGS,Matera,Italy,ASI,40.6490278,16.7046528,537,MATG00ITA,LEICA GR10,LEIAR25,NONE,ROBOT,2020-08-03,2020-10-20,GPS+GLO+GAL+BDS+SBAS,MATG00ITA
MAUI00USA,IGS,"Haleakala, Maui",United States,PGF,20.7067,-156.257,3062,MAUI00USA,TRIMBLE NETRS,ASH700936D_M,SNOW,ROBOT,2020-10-19,n/a,GPS,MAUI00USA
MAW100ATA,IGS,Mawson,Antarctica,GA,-67.6048,62.8707,59.2,MAW100ATA,SEPT POLARX5,AOAD/M_T,AUST,n/a,2020-10-01,2020-10-20,GPS+GLO+GAL+BDS+QZSS+IRNSS,MAW100ATA
MAYG00MYT,IGS,Dzaoudzi,Mayotte,CNES,-12.7820532,45.2581519,-16.35,MAYG00MYT,TRIMBLE ALLOY,TRM59800.00,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS+IRNSS,MAYG00MYT
MBAR00UGA,IGS,Mbarara,Uganda,JPL,-0.6014691,30.7378762,1337.6533,MBAR00UGA,JAVAD TRE_3 DELTA,ASH701945B_M,SCIS,COPIED,2020-10-16,2020-10-16,GPS+GLO+GAL+BDS+IRNSS,MBAR00UGA
MCHL00AUS,IGS,Mitchell,Australia,GA,-26.3589056,148.1449611,534.6,MCHL00AUS,TRIMBLE ALLOY,TRM59800.00,NONE,ROBOT,2020-09-29,2020-10-20,GPS+GLO+GAL+BDS+QZSS,MCHL00AUS
MCIL00JPN,IGS,Ogasawara,Japan,GSI,24.2900944,153.9786611,35.66,MCIL00JPN,TRIMBLE NETR9,TRM59800.80,SCIS,COPIED,2020-08-04,2020-08-04,GPS+GLO+GAL+QZSS,MCIL00JPN
MCM400ATA,IGS,Ross Island,Antarctica,JPL,-77.8383495,166.6693293,98.0222,MCM400ATA,JAVAD TRE_G3TH DELTA,AOAD/M_T,JPLA,n/a,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+QZSS,MCM400ATA
MDO100USA,IGS,Fort Davis,United States of America,JPL,30.6805111,-104.0149933,2004.4761,MDO100USA,SEPT POLARX5,JAVRINGANT_DM,SCIS,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS,MDO100USA
MDVJ00RUS,IGS,Mendeleevo,Russian Federation,VNIIFTRI,56.0214917,37.2145028,257.4,MDVJ00RUS,TPS NETG3,JPSREGANT_DD_E1,NONE,ROBOT,2020-10-20,n/a,GPS+GLO,MDVJ00RUS
MEDI00ITA,IGS,Medicina,Italy,ASI,44.5199556,11.6468139,50,MEDI00ITA,LEICA GR10,LEIAR20,LEIM,ROBOT,2020-08-03,2020-10-20,GPS+GLO+GAL+BDS+SBAS,MEDI00ITA
MELI00ESP,IGS,Melilla,Spain,IGN-E,35.2812194,-2.9516417,93.5,MELI00ESP,LEICA GR10,LEIAR25.R4,LEIT,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL,MELI00ESP
MERS00TUR,IGS,Erdemli,Turkey,GCM,36.5663889,34.2558528,38.5,MERS00TUR,LEICA GR50,LEIAR10,NONE,ROBOT,2020-10-11,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS,MERS00TUR
MET300FIN,IGS,Kirkkonummi,Finland,FGI,60.2174556,24.3945,79.2,MET300FIN,JAVAD TRE_3 DELTA,JAVRINGANT_DM,SCIS,ROBOT,2020-08-18,2020-10-20,GPS+GLO+GAL+BDS+SBAS,MET300FIN
METG00FIN,IGS,METSAHOVI,Finland,FGI,60.2419667,24.384175,59.7,METG00FIN,SEPT POLARX5,TRM59800.00,SCIS,ROBOT,2020-10-19,2020-10-19,GPS+GLO+GAL+BDS+SBAS+IRNSS,METG00FIN
METS00FIN,IGS,Kirkkonummi,Finland,FGI,60.2174694,24.3953167,94.6,METS00FIN,JAVAD TRE_3 DELTA,ASH700936C_M,NONE,ROBOT,2020-08-18,n/a,GPS,METS00FIN
MFKG00ZAF,IGS,MAFIKENG,South Africa,NGI,-25.8050139,25.5399694,1310.9,MFKG00ZAF,TRIMBLE NETRS,ASH701941.B,SCIS,ROBOT,2020-10-20,n/a,GPS,MFKG00ZAF
MGUE00ARG,IGS,Malargue,Argentina,ESOC,-35.77735,-69.3979278,1554.15,MGUE00ARG,SEPT POLARX5TR,LEIAR25.R4,NONE,ROBOT,2020-04-05,2020-10-20,GPS+GLO+GAL+BDS+SBAS,MGUE00ARG
MIKL00UKR,IGS,Mykolaiv,Ukraine,MAO,46.9727889,31.9728278,94.7,MIKL00UKR,LEICA GR10,LEIAR10,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL,MIKL00UKR
MIZU00JPN,IGS,Mizusawa,Japan,GFZ,39.1351694,141.1328278,117,MIZU00JPN,SEPT ASTERX4,SEPCHOKE_B3E6,NONE,ROBOT,2018-12-16,2020-10-20,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,MIZU00JPN
MKEA00USA,IGS,Mauna Kea,United States,JPL,19.8013566,-155.4563453,3754.7,MKEA00USA,SEPT POLARX5,JAVRINGANT_DM,SCIS,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+QZSS,MKEA00USA
MOBJ00RUS,IGS,Obninsk,Russian Federation,RDAAC,55.114882,36.5697129,182.6079,MOBJ00RUS,JPS LEGACY,JPSREGANT_SD_E1,NONE,ROBOT,2020-10-20,n/a,GPS+GLO,MOBJ00RUS
MOBK00RUS,IGS,Obninsk,Russian Federation,JPL,55.114882,36.5697129,182.6079,MOBK00RUS,JPS EGGDT,JPSREGANT_SD_E1,NONE,ROBOT,2020-10-20,n/a,GPS+GLO,MOBK00RUS
MOBN00RUS,IGS,Obninsk,Russian Federation,RDAAC,55.1148806,36.5695194,182.634,MOBN00RUS,ASHTECH UZ-12,ASH701945C_M,SCIS,ROBOT,2020-10-20,n/a,GPS,MOBN00RUS
MOBS00AUS,IGS,Melbourne,Australia,GA,-37.8294054,144.9753402,40.578,MOBS00AUS,SEPT POLARX4TR,ASH701945C_M,NONE,ROBOT,2020-10-17,2020-10-05,GPS+GLO+GAL+BDS+QZSS,MOBS00AUS
MOIU00KEN,IGS,Eldoret,Kenya,JPL,0.2883204,35.2900102,2201.5321,MOIU00KEN,JAVAD TRE_3 DELTA,ASH701945E_M,NONE,ROBOT,2020-01-06,2020-01-06,GPS+GLO+GAL+BDS,MOIU00KEN
MONP00USA,IGS,Laguna Mountains,United States,SIO,32.89,-116.42,1842.55,MONP00USA,TPS NET-G3A,ASH701945B_M,SCIS,COPIED,2020-10-20,n/a,GPS,MONP00USA
MORP00GBR,IGS,Morpeth,United Kingdom,NCL,55.2127889,-1.6854972,144.5,MORP00GBR,TRIMBLE NETR8,AOAD/M_T,NONE,ROBOT,2020-10-01,n/a,GPS,MORP00GBR
MQZG00NZL,IGS,Christchurch,New Zealand,GNS,-43.7027361,172.654705,154.68,MQZG00NZL,TRIMBLE ALLOY,TRM115000.00,NONE,ROBOT,2020-10-20,2019-01-22,GPS+GLO+GAL+BDS+QZSS,MQZG00NZL
MRC100USA,IGS,Stafford,United States of America,NRL,38.4990996,-77.3706496,27.2003,MRC100USA,SEPT POLARX5,SEPCHOKE_B3E6,SPKE,ROBOT,2020-10-19,2020-10-19,GPS+GLO+GAL+BDS,MRC100USA
MRL100NZL,IGS,Marlbourough,New Zealand,NGA,-41.5761944,173.7407528,147.2,MRL100NZL,ITT 3750300,TPSCR.G5,TPSH,ROBOT,2020-10-18,n/a,GPS,MRL100NZL
MRL200NZL,IGS,Marlbourough,New Zealand,NGA,-41.5761944,173.7407528,147.2,MRL200NZL,ITT 3750300,TPSCR.G5,TPSH,ROBOT,2020-10-18,n/a,GPS,MRL200NZL
MRO100AUS,IGS,Boolardy Station,Australia,GA,-26.6966389,116.6374917,354.1,MRO100AUS,TRIMBLE NETR9,TRM59800.00,NONE,ROBOT,2020-09-29,2020-10-20,GPS+QZSS+GLO+GAL+BDS,MRO100AUS
MTKA00JPN,IGS,Mitaka,Japan,ENRI,35.6795139,139.5613861,109,MTKA00JPN,TRIMBLE NETR9,ASH701073.1,SNOW,ROBOT,2020-10-20,n/a,GPS+GLO,MTKA00JPN
MTV100URY,IGS,Montevideo,Uruguay,NGA,-34.9135917,-56.1763,40.7,MTV100URY,ITT 3750300,TPSCR.G5,TPSH,ROBOT,2020-10-18,n/a,GPS,MTV100URY
MTV200URY,IGS,Montevideo,Uruguay,NGA,-34.9135917,-56.1763,40.7,MTV200URY,ITT 3750300,TPSCR.G5,TPSH,ROBOT,2020-10-18,n/a,GPS,MTV200URY
NAIN00CAN,IGS,Nain,Canada,NRCan/GSD,56.5369639,-61.6887167,33.48,NAIN00CAN,ASHTECH UZ-12,ASH701945D_M,NONE,ROBOT,2019-06-26,n/a,GPS,NAIN00CAN
NANO00CAN,IGS,Nanoose Bay,Canada,GSC,49.2948,-124.0865,6,NANO00CAN,SEPT POLARX5,SEPCHOKE_B3E6,SPKE,ROBOT,2020-10-20,n/a,GPS+GLO+GAL,NANO00CAN
NAUR00NRU,IGS,"Nauru, Yaren District",Nauru,GA,-0.5518397,166.92555,46.3,NAUR00NRU,SEPT POLARX4TR,LEIAR25.R3,LEIT,ROBOT,2020-01-19,2020-01-17,GPS+GLO+GAL+BDS+QZSS,NAUR00NRU
NCKU00TWN,IGS,Tainan,Taiwan,JAXA,22.9966583,120.2225833,98.217,NCKU00TWN,TRIMBLE NETR9,JAVRINGANT_DM,SCIS,ROBOT,n/a,2020-10-14,GPS+GLO+GAL+BDS+QZSS,NCKU00TWN
NICO00CYP,IGS,Nicosia,Cyprus,BKG,35.1409806,33.3964333,191.7,NICO00CYP,LEICA GR50,LEIAR25.R4,LEIT,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS,NICO00CYP
NIST00USA,IGS,Boulder,United States,NIST,39.9950667,-105.2626056,1648.488,NIST00USA,NOV OEM4-G2,NOV702,NONE,ROBOT,2020-10-19,n/a,GPS,NIST00USA
NIUM00NIU,IGS,Alofi,Niue,GA,-19.0765667,-169.9270667,90.1,NIUM00NIU,TRIMBLE NETR9,TRM59800.00,NONE,ROBOT,2020-09-30,2020-10-19,GPS+QZSS+GLO+GAL+BDS,NIUM00NIU
NKLG00GAB,IGS,Libreville,Gabon,CNES,0.3539077,9.6721263,31.496,NKLG00GAB,SEPT POLARX5,TRM59800.00,SCIS,ROBOT,2020-10-19,2020-10-19,GPS+GLO+GAL+BDS+SBAS+IRNSS,NKLG00GAB
NLIB00USA,IGS,North Liberty,United States,JPL,41.7715917,-91.5748917,207.0648,NLIB00USA,SEPT POLARX5TR,JAVRINGANT_DM,SCIS,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS,NLIB00USA
NNOR00AUS,IGS,New Norcia,Australia,ESOC,-31.0487389,116.1927139,234.984,NNOR00AUS,SEPT POLARX5TR,SEPCHOKE_B3E6,NONE,ROBOT,2020-04-05,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS+IRNSS,NNOR00AUS
NOT100ITA,IGS,Noto,Italy,ASI,36.8761083,14.9898083,126.2,NOT100ITA,LEICA GR30,LEIAR20,NONE,ROBOT,2020-08-03,2020-10-20,GPS+GLO+GAL+BDS+SBAS,NOT100ITA
NOVM00RUS,IGS,Novosibirsk,Russian Federation,VNIIFTRI,55.0305,82.9094889,149.98,NOVM00RUS,JPS LEGACY,JPSREGANT_SD_E1,NONE,ROBOT,2020-10-20,n/a,GPS+GLO,NOVM00RUS
NRC100CAN,IGS,Ottawa,Canada,NRCan,45.4542,-75.6238,82.5,NRC100CAN,JAVAD TRE_G3TH DELTA,AOAD/M_T,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL,NRC100CAN
NRIL00RUS,IGS,Norilsk,Russian Federation,RDAAC,69.3618333,88.3597778,47.8937,NRIL00RUS,ASHTECH UZ-12,ASH701945B_M,SCIT,FIELD,2020-10-20,n/a,GPS,NRIL00RUS
NRMD00NCL,IGS,NOUMEA,New Caledonia,DITTT,-22.2283306,166.4848833,160.384,NRMD00NCL,TRIMBLE NETR9,TRM57971.00,TZGD,ROBOT,2020-10-18,2020-10-18,GPS+GLO+QZSS+GAL+BDS,NRMD00NCL
NTUS00SGP,IGS,Singapore,Singapore,DUT,1.3458,103.6799,79,NTUS00SGP,LEICA GR50,LEIAR20,LEIM,ROBOT,2020-04-06,2020-10-20,GPS+GLO+GAL+BDS+QZSS,NTUS00SGP
NVSK00RUS,IGS,Novosibirsk,Russian Federation,IPGG SB RAS,54.8406,83.2355,123.6429,NVSK00RUS,TRIMBLE R7 GNSS,TRM57971.00,NONE,ROBOT,2020-10-18,n/a,GPS+GLO,NVSK00RUS
NYA100NOR,IGS,Ny-Alesund,Norway,NMA,78.9295528,11.8652944,83.7,NYA100NOR,TRIMBLE NETR8,ASH701073.1,SNOW,ROBOT,2020-10-20,2020-10-19,GPS+GLO,NYA100NOR
NYA200NOR,IGS,Ny Alesund,Norway,GFZ,78.9303333,11.8586389,81.5,NYA200NOR,SEPT POLARX5,JAVRINGANT_G5T,NONE,ROBOT,2019-04-28,2020-10-20,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,NYA200NOR
NYAL00NOR,IGS,Ny-Alesund,Norway,NMA,78.9295806,11.8650944,79,NYAL00NOR,TRIMBLE NETR9,AOAD/M_B,DOME,n/a,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+QZSS,NYAL00NOR
OAK100GBR,IGS,Hermitage,United Kingdom,NGA,51.1176111,-0.905125,139.6,OAK100GBR,ITT 3750300,TPSCR.G5,TPSH,ROBOT,2020-10-18,n/a,GPS,OAK100GBR
OAK200GBR,IGS,Hermitage,United Kingdom,NGA,51.1176111,-0.905125,139.6,OAK200GBR,ITT 3750300,TPSCR.G5,TPSH,ROBOT,2020-10-18,n/a,GPS,OAK200GBR
OBE400DEU,IGS,Oberpfaffenhofen,Germany,GFZ,48.0848056,11.2778556,650.5,OBE400DEU,JAVAD TRE_G3TH DELTA,JAV_RINGANT_G3T,NONE,ROBOT,2019-04-09,2020-10-20,GPS+GLO+GAL,OBE400DEU
OHI200ATA,IGS,O'Higgins,Antarctica,BKG,-63.3211,-57.9013,33.1,OHI200ATA,JAVAD TRE_G3TH DELTA,LEIAR25.R4,LEIT,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+SBAS,OHI200ATA
